org/mockito/internal/util/MockUtil	createMock	ancillaryTypes	43	0.0	 
org/mockito/internal/util/MockUtil	createMock	spiedInstance	44	0.0	 
org/mockito/internal/util/MockUtil	createMock	mock	46	0.0	 
org/mockito/internal/invocation/Invocation	isToString	invocation	150	-0.007817385866166426	 
org/mockito/internal/MockHandler	handle	ret	97	-0.00843222985633979	 
org/mockito/internal/creation/MockSettingsImpl	getDefaultAnswer	this	70	-0.009045539613225184	 
org/mockito/internal/stubbing/OngoingStubbingImpl	<init>	mockitoStubber	19	-0.022741055184960612	 
org/mockito/internal/stubbing/OngoingStubbingImpl	<init>	registeredInvocations	20	-0.022741055184960612	 
org/mockito/internal/progress/MockingProgressImpl	reportOngoingStubbing	iOngoingStubbing	28	-0.022741055184960612	 
org/mockito/internal/progress/MockingProgressImpl	reportOngoingStubbing	this	28	-0.022741055184960612	 
org/mockito/internal/progress/ThreadSafeMockingProgress	reportOngoingStubbing	iOngoingStubbing	26	-0.022741055184960612	 
org/mockito/internal/verification/RegisteredInvocations	add	this	23	-0.023319200484554825	 
org/mockito/internal/verification/RegisteredInvocations	add	invocation	23	-0.023319200484554825	 
org/mockito/internal/stubbing/MockitoStubber	findAnswerFor	this	62	-0.023895946763460407	 
org/mockito/internal/stubbing/MockitoStubber	setInvocationForPotentialStubbing	invocation	33	-0.026189042745334123	 
org/mockito/internal/stubbing/MockitoStubber	setInvocationForPotentialStubbing	this	33	-0.026189042745334123	 
org/mockito/internal/MockHandler	handle	verificationMode	67	-0.02732732732732729	 
org/mockito/internal/MockHandler	handle	invocation	69	-0.02732732732732729	 
org/mockito/internal/MockHandler	handle	invocationMatcher	69	-0.02732732732732729	 
org/mockito/internal/creation/DelegatingMockitoMethodProxy	<init>	methodProxy	10	-0.02902453620586476	 
org/mockito/internal/creation/DelegatingMockitoMethodProxy	getMethodProxy	this	15	-0.02902453620586476	 
org/mockito/internal/exceptions/base/StackTraceFilter	filter	keepTop	44	-0.03164620719668321	 
org/mockito/internal/progress/MockingProgressImpl	pullVerificationMode	this	51	-0.03293768545994069	 
org/mockito/internal/util/ObjectMethodsGuru	isToString	method	18	-0.033961506019133725	 
org/mockito/internal/invocation/MatchersBinder	bindMatchers	argumentMatcherStorage	20	-0.03569321533923303	 
org/mockito/internal/invocation/MatchersBinder	bindMatchers	lastMatchers	20	-0.03569321533923303	 
org/mockito/internal/invocation/MatchersBinder	bindMatchers	invocation	21	-0.03569321533923303	 
org/mockito/internal/invocation/MatchersBinder	bindMatchers	invocationWithMatchers	23	-0.03569321533923303	 
org/mockito/internal/invocation/MatchersBinder	validateMatchers	matchers	28	-0.03569321533923303	 
org/mockito/internal/creation/MockSettingsImpl	isSerializable	this	74	-0.03569321533923303	 
org/mockito/internal/invocation/realmethod/FilteredCGLIBProxyRealMethod	<init>	methodProxy	17	-0.03569321533923303	 
org/mockito/internal/creation/cglib/CGLIBHacker	setMockitoNamingPolicy	methodProxy	16	-0.03569321533923303	 
org/mockito/internal/creation/AbstractMockitoMethodProxy	setNamingPolicyField	methodProxy	16	-0.03569321533923303	 
org/mockito/internal/creation/AbstractMockitoMethodProxy	setNamingPolicyField	createInfoField	17	-0.03569321533923303	 
org/mockito/internal/creation/AbstractMockitoMethodProxy	setNamingPolicyField	createInfo	19	-0.03569321533923303	 
org/mockito/internal/creation/AbstractMockitoMethodProxy	setNamingPolicyField	namingPolicyField	20	-0.03569321533923303	 
org/mockito/internal/creation/AbstractMockitoMethodProxy	reflectOnCreateInfo	methodProxy	34	-0.03569321533923303	 
org/mockito/internal/creation/AbstractMockitoMethodProxy	reflectOnCreateInfo	cglibMethodProxyClass	34	-0.03569321533923303	 
org/mockito/internal/progress/ArgumentMatcherStorageImpl	pullMatchers	this	38	-0.03569321533923303	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	methodProxy	40	-0.03569321533923303	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	mockitoMethodProxy	40	-0.03569321533923303	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	realMethod	44	-0.03569321533923303	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	mockitoMethod	45	-0.03569321533923303	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	proxy	46	-0.03569321533923303	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	args	46	-0.03569321533923303	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	invocation	46	-0.03569321533923303	 
org/mockito/internal/creation/MethodInterceptorFilter	createMockitoMethodProxy	this	59	-0.03569321533923303	 
org/mockito/internal/invocation/realmethod/CGLIBProxyRealMethod	<init>	methodProxy	16	-0.03569321533923303	 
org/mockito/internal/invocation/InvocationMatcher	getInvocation	this	43	-0.036240424278137895	 
org/mockito/internal/invocation/realmethod/FilteredCGLIBProxyRealMethod	<init>	realMethod	21	-0.036240424278137895	 
org/mockito/internal/MockHandler	handle	this	60	-0.036240424278137895	 
org/mockito/internal/invocation/SerializableMockitoMethod	getReturnType	this	32	-0.03678634490876981	 
org/mockito/internal/invocation/Invocation	getMethod	this	81	-0.037874339401056945	 
org/mockito/internal/stubbing/MockitoStubber	hasAnswersForStubbing	this	80	-0.03852997870618741	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	this	34	-0.04270772806507844	 
org/mockito/internal/creation/MethodInterceptorFilter	intercept	method	34	-0.04270772806507844	 
org/mockito/internal/invocation/InvocationMatcher	<init>	invocation	26	-0.06204785754034503	 
org/mockito/internal/invocation/InvocationMatcher	<init>	matchers	27	-0.06204785754034503	 
org/mockito/internal/invocation/Invocation	argumentsToMatchers	this	138	-0.0630205441421432	 
org/mockito/internal/invocation/Invocation	argumentsToMatchers	matchers	138	-0.0630205441421432	 
org/mockito/internal/util/ObjectMethodsGuru	isEqualsMethod	method	23	-0.09579526189558918	 
